type,tweet
INTJ,Yes and due to it being shapes and objects that means our process of analyzing is not so much bound by languages
INTP,Also a logical fallacy Just because celebrities think something or believe something does not make it true
ENTJ,i dont know if its a just a rant or you actually want to do something about it most people just want to rant
ENTP,Very well could also be a sign of immaturity or an ego thats been allowed to grow unchecked
INFJ,Thank you Youre right theres nothing to miss out on with a friendship If thats what comes of this or even if it doesnt it was nice knowing them
INFP,well ill just delete this post because apparently it is not even a little bit relevant i thought this conversation was going to go a completely different direction
ENFJ,i have dreams of tornadoes a lot a lot of dreams of being away on business with old coworkers and family
ENFP,cannot keep count of those those moments are like a time bomb ticks for me i have anxiety
ISTJ,Ive really got to start enforcing this with my friends otherwise Im pressured into going out too often
ISFJ,Haha I guess Im not that invisible after all I changed it yesterday and I kinda explained it here
ESTJ,so if i understand what youve said the passively established boundaries set by parallel play style interactions are viewed as less mature than the act of actively setting boundaries
ESFJ,i keep finding birthday cards tucked away in random places and instead of throwing them out the pile just grows if i actually get given them nowadays
ISTP,Thanks so much for taking the time to lay this out for me Sounds like a great way to approach it thank you for your insight
ISFP,i agree with this entirely my friends say i have different sides to me not like bipolar sides but certain situations bring out different personalities
ESTP,i dont think they are charming sorry just no they are usually in most cases highly intelligent persuasive decisive and direct which i think many can appreciate the value in those
ESFP,Yeah I mean Im social and love talking but when it comes to talking about myself I will do almost everything to keep from discussing my unpretty side
INTJ,You know thats what I was just thinking Oh shit maybe I already won I accomplished my goals that Id set for this age Thats why I have no direction Maybe I just need new goals Or I could just sit here and stave off the ravenous beasts for a while
INTP,it may sound odd me asking but what was your childhood like major anxiety issues as well as a number of other sets of beliefs often to stem from unprocessed childhood trauma that needs to be worked
ENTJ,This so much I have 2 businesses and I always get shitass lazy interns or employees who call in once a week or are late sit around no ambition Just so disgusting Really gets on my nerves
ENTP,It will be difficult Ill probably consume way to much coffee at first Might fail but its definitely worth a try
INFJ,LOL I am overweight but I carry my weight well and I have decent strengthstamina So maybe its not a type thing based on me pure anecdotal evidence That aside your friend doesnt sound very pleasant to be around
INFP,i agree i feel that maturity has a lot to do with the personal development and growth of our inner selves this helps us understand ourselves better make better choices and be able to relate
ENFJ,more than possible skills are things you are constantly learning and practising and socialising is no different for most of the time i was growing up im only 20 now mind i was horrendous
ENFP,yes i have i admire his childlike and idealistic nature in the face of rejection pain illness and adversity
ISTJ,im pretty lazy about work outside of an actual paying job at work i get on with it and get my stuff done as best and fast as i can but outside of work if i had some homework from school uni
ISFJ,i was in my high school chemistry class and the teacher assigned us our final exam it was a crossword that we had to do i remember panicking because i felt like i had no clue how to do it i tried
ESTJ,female blonde i wear my hair up in a twist never a pony tail hazel eyes and glasses classic elegance ann taylor pearl earings favorite color blue lipstick and mascara natural nails
ESFJ,theyre people just like sensors some are annoying some are insufferable but most are okay a few are even great
ISTP,hobbies mountain biking rock climbing bouldering running paintball every now and again model building building fixing things video games computer work music
ISFP,my inability to follow directions for building assembling etc is actually getting more embarrassing as i get older its almost like i just shut down when when i see that kind of stuff
ESTP,Im indifferent about tons of stuff and I most definitely dont wear my opinions on my sleeve I like to remain factual and objective but going off into a discussion can be entertaining and educational but not really my goal or interest
ESFP,i did the bottle flipping with a group of friends at school and my bottle actually landed without falling all my friends were like oohhhhhhh
ENFJ,Youre very welcome Im happy you found it mostly true and I appreciate your feedback on the parts I need to do more research
ENFJ,thats mandatory the problem is if you dont actually define or redefine shit and just go halfway through and give up its just insane push through
ENFP,i used to be like that when i was younger but now it choose when to show it
