type,tweet
ENFJ,everything in life is always amazing to me i just loove laughing and keeping a positive enviourmentcrazy
ENFJ,Shootmepis definitely has depression or something similar When someone is feeling truly depressed they feel completely dead inside and they feel like they can never get better I hope that he or she attempts to get help from a mental professional
ENFJ,exactly i think it is all tendencies i am somewhat of a cancerleo cusp and i can tell that i am influenced by that a little bit as well not as much a personality type leos are very passionate
ENFP,My go to day dream is different ways Id save people My go to how do you want to die is When Im really old Im gonna slap on a costume and go around downtown saving people until someone shoots me
ENFP,its no wonder you so desperately want to keep me around when youre no more than a troll with petty insults in her arsenal i suggest you address the one person who is politely trying to keep your
ENFP,the quote shows that you have a fiery personality pun as always intented the fact that you put it in all caps adds to that its like your shouting your beliefs and feelings at the people
ENTJ,cheshire tower i cant find any wounds or particular sensitive spots on her body wickerdeer she was definitely dehydrated i put tuna in water to get her to drink and i force fed her pedialyte
ENTJ,whatever we did it would be very well organized Baker cook farmer Regardless of our station in life our enterprises would function like a machine and be highly efficient compared to those of our peers Probably not the most creative or innovative
ENTJ,That doesnt have to be the case considering the amount of data uploaded to youtube and other sites and the potential lack of markering which ends up being more important than the quality of your work a bit too often in many many fields includig this one
ENTP,Thats what Im saying I had the good teachers in high school they taught me the how However I knew the other teachers and heard of their teaching and they certainly just said this is that and that is this none of the how beyond what is required I also was just using calc as an example since Im currently in Calc II
ENTP,thats literally the definition of Fe although what you described here sounded a shit ton like the Fe hidden agenda tertiary Fe ExTP because you dont get it fulfilled and its very hidden from others zone of problems you want understanding yet only misunderstanding occurs you could still be any other Fe valuing type tho
ENTP,they simply cant understand anything rational they are so emotional all their actions must be in harmony with everything oh when i was trying to explain something for pure random knowledge
ESFJ,thank you im sure i will enjoy myself here c thats wonderful that youve been able to reach that level im still working towards that myself how long have you been studying japanese so far
ESFJ,thankfully we get along very well and respect one another we dont yell name call insult we are both rational people which makes this easier and i need to appreciate that i think the
ESFJ,gt introverted types tend to get drained faster whats being drained Energy Calories Is this something that can be measured and correlated Or are social interactions more involved and energyintensive for all people regardless of whether they identify as an introvert or an extrovert
ESFP,I think you are being too self critical My guess is others dont see you like you think You will become depressed if you repress your personality like this Just be yourself man Nobody wants to talk to a robot
ESFP,Yeah this feels right I definitely think of the consequences of the things I do but its a matter of pros and cons Doing impulsive things makes my life way better than the consequences make my life worse you know And obviously we have limits and as you said we know how to charm D
